,Entreprise,Metier,Technologies,Diplome,Experience,Ville,Techlist
46,HiTS,Data engineer,aws/python/c/c++/docker,Master,3.0,Marseille,"['aws', 'python', 'c', 'c++', 'docker']"
47,Signify,Data scientist,python/tensorflow/scikit-learn/deep learning/r,No diploma,0.5,Lyon,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
48,UNKNOWN,Data engineer,python/java/linux/gnu,No diploma,6.0,Bordeaux,"['python', 'java', 'linux', 'gnu']"
49,Arm,Data architecte,java/python/linux,Master,2.5,Paris,"['java', 'python', 'linux']"
50,"Moderna Therapeutics, Inc",Data scientist,python/microsoft azure/r/sql,Master,1.0,Lyon,"['python', 'microsoft azure', 'r', 'sql']"
51,Piedmont Healthcare,Lead data scientist,r/python/hadoop/hive/sql,Master,4.0,Bordeaux,"['r', 'python', 'hadoop', 'hive', 'sql']"
52,Cambridge Consultants,Data scientist,vba/python/excel/r,Master,1.0,Lyon,"['vba', 'python', 'excel', 'r']"
53,Jacobs,Data architecte,java/python/linux,Master,5.0,Nantes,"['java', 'python', 'linux']"
54,Natera,Data scientist,python/r/spark/hadoop/sql,Master,3.0,Paris,"['python', 'r', 'spark', 'hadoop', 'sql']"
55,UNKNOWN,Data architecte,python/hadoop/kafka/aws,Bachelor,8.0,Paris,"['python', 'hadoop', 'kafka', 'aws']"
56,Ball Aerospace,Data architecte,java/aws/elasticsearch/kibana,Master,1.0,Strasbourg,"['java', 'aws', 'elasticsearch', 'kibana']"
57,United Way,Data architecte,c/c++/java/python,Master,3.0,Bordeaux,"['c', 'c++', 'java', 'python']"
58,UNKNOWN,Data scientist,matlab/c/c++/python/scikit-learn,Phd,2.5,Nantes,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
59,HDR,Data architecte,python/java/scala/mongodb,Master,3.0,Bordeaux,"['python', 'java', 'scala', 'mongodb']"
60,Weaver Consultants Group,Data architecte,python/aws/docker,Master,6.0,Lyon,"['python', 'aws', 'docker']"
61,Hospital for Special Surgery,Data scientist,sql/r/python/big data,Master,3.0,Paris,"['sql', 'r', 'python', 'big data']"
62,UNKNOWN,Data engineer,oracle/java/mysql/linux,Master,1.5,Toulouse,"['oracle', 'java', 'mysql', 'linux']"
63,Klein Hersh International,Lead data scientist,sql/r/python/big data,Master,4.0,Marseille,"['sql', 'r', 'python', 'big data']"
64,Brammer Bio,Data scientist,matlab/c/c++/python/scikit-learn,Master,2.0,Marseille,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
65,JUUL Labs,Lead data scientist,python/microsoft azure/r/sql,No diploma,2.5,Paris,"['python', 'microsoft azure', 'r', 'sql']"
66,Joymode,Data engineer,oracle/java/mysql/linux,Bachelor,0.5,Nantes,"['oracle', 'java', 'mysql', 'linux']"
67,Total Systems Technologies Corporation,Data architecte,cassandra/mongodb/nosql/aws,Master,1.5,Paris,"['cassandra', 'mongodb', 'nosql', 'aws']"
68,General Electric,Lead data scientist,sql/r/python/big data,Master,4.0,Toulouse,"['sql', 'r', 'python', 'big data']"
69,Vertex Pharmaceuticals,Data architecte,cassandra/mongodb/nosql/aws,Master,2.5,Lyon,"['cassandra', 'mongodb', 'nosql', 'aws']"
70,Advanced Sciences and Technologies (AS&T),Data engineer,aws/python/c/c++/docker,Master,3.5,Nantes,"['aws', 'python', 'c', 'c++', 'docker']"
71,Massachusetts Eye and Ear Infirmary,Data architecte,hadoop/hive/vertica/tableau,Master,2.5,Paris,"['hadoop', 'hive', 'vertica', 'tableau']"
72,SENS Research Foundation,Data scientist,excel/vba/r/python/pyspark,Master,8.0,Bordeaux,"['excel', 'vba', 'r', 'python', 'pyspark']"
73,UNKNOWN,Data architecte,hadoop/hive/vertica/tableau,No diploma,1.5,Marseille,"['hadoop', 'hive', 'vertica', 'tableau']"
74,Oneida ESC Group,Data engineer,python/pyspark/spark,Master,1.5,Marseille,"['python', 'pyspark', 'spark']"
75,Rescue Agency,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Bachelor,3.5,Marseille,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
76,Ball Aerospace,Lead data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Phd,3.5,Toulouse,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
77,Lexington Solutions Group,Data scientist,excel/python/matlab/r/machine learning/anglais,Phd,1.5,Marseille,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
78,JD.com,Data scientist,python/r/spark/hadoop/sql,Phd,2.0,Lille,"['python', 'r', 'spark', 'hadoop', 'sql']"
79,"Alexion Pharmaceuticals,Inc.",Data scientist,r/python/spark/pycharm/sas/sql,Phd,2.5,Strasbourg,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
80,Civis Analytics,Data scientist,python/r/spark/hadoop/sql,Master,2.5,Nice,"['python', 'r', 'spark', 'hadoop', 'sql']"
81,CUNA Mutual Group,Data architecte,java/aws/elasticsearch/kibana,No diploma,3.5,Lyon,"['java', 'aws', 'elasticsearch', 'kibana']"
82,Ball Aerospace,Data engineer,python/pyspark/spark,Phd,13.0,Paris,"['python', 'pyspark', 'spark']"
83,Gallup,Data architecte,java/linux/docker,No diploma,2.0,Paris,"['java', 'linux', 'docker']"
84,Ball Aerospace,Lead data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,2.5,Nantes,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
85,Harnham,Data scientist,r/machine learning/excel/vba,Master,2.0,Toulon,"['r', 'machine learning', 'excel', 'vba']"
86,The Catholic University of America,Data engineer,elasticsearch/kibana/mongodb,Bachelor,5.0,Lyon,"['elasticsearch', 'kibana', 'mongodb']"
87,UNKNOWN,Data engineer,java/hadoop/hadoop/yarn,Master,1.0,Lille,"['java', 'hadoop', 'hadoop', 'yarn']"
88,Gartner,Data scientist,python/tensorflow/r/big data,Phd,2.5,Lille,"['python', 'tensorflow', 'r', 'big data']"
89,Harvard University,Lead data scientist,sql/r/python/big data,Bachelor,1.5,Marseille,"['sql', 'r', 'python', 'big data']"
90,Centers for Disease Control and Prevention,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Phd,6.0,Strasbourg,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
91,MFS Investment Management,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,0.5,Marseille,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
92,JP Morgan Chase,Data scientist,python/r/machine learning/excel/vba/c++,Master,1.5,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
93,Ball Aerospace,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,3.5,Bordeaux,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
94,UNKNOWN,Data scientist,c++/r/python/matlab/matplotlib,Master,0.5,Lille,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
95,R/GA,Data scientist,python/r/machine learning/excel/vba/c++,Master,2.5,Lyon,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
96,UNKNOWN,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Phd,0.0,Bordeaux,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
97,Nift Networks,Data engineer,aws/python/c/c++/docker,Master,2.0,Bordeaux,"['aws', 'python', 'c', 'c++', 'docker']"
98,DELL,Data scientist,excel/python/matlab/r/machine learning/anglais,Master,2.5,Paris,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
99,Mindshare,Data engineer,mongodb/mariadb/python/docker,Master,2.0,Lyon,"['mongodb', 'mariadb', 'python', 'docker']"
100,Scientific Research Corporation,Data architecte,java/python/linux,Master,0.0,Paris,"['java', 'python', 'linux']"
101,UNKNOWN,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,No diploma,2.5,Paris,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
102,Vertex,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,0.0,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
103,Capgemini,Data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Bachelor,2.5,Bordeaux,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
104,UNKNOWN,Data scientist,c++/r/python/matlab/matplotlib,Master,1.5,Lille,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
105,"Advanced Micro Devices, Inc.",Data engineer,aws/python/c/c++/docker,Master,0.0,Montpellier,"['aws', 'python', 'c', 'c++', 'docker']"
106,University of Texas at Austin,Lead data scientist,excel/vba/r/python/pyspark,Master,1.0,Bordeaux,"['excel', 'vba', 'r', 'python', 'pyspark']"
107,Natera,Lead data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,2.0,Lyon,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
108,Clear Story Data,Data engineer,java/hadoop/hadoop/yarn,No diploma,3.5,Marseille,"['java', 'hadoop', 'hadoop', 'yarn']"
109,Rubius Therapeutics,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Bachelor,1.5,Marseille,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
110,Slalom Consulting,Data scientist,r/python/spark/pycharm/sas/sql,Bachelor,2.5,Bordeaux,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
111,UNKNOWN,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,3.5,Lille,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
112,Workbridge Associates,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Master,3.0,Paris,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
113,UNKNOWN,Data scientist,r/python/hadoop/hive/sql,Phd,3.0,Lille,"['r', 'python', 'hadoop', 'hive', 'sql']"
114,Dyson,Data engineer,java/hadoop/hadoop/yarn,Master,3.0,Marseille,"['java', 'hadoop', 'hadoop', 'yarn']"
115,McKinsey & Company,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,1.0,Strasbourg,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
116,Brigham & Women's Hospital(BWH),Data architecte,python/hadoop/kafka/aws,No diploma,2.0,Rouen,"['python', 'hadoop', 'kafka', 'aws']"
117,Partners HealthCare(PHS),Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,3.0,Bordeaux,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
118,Sovrn Holdings,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Phd,0.0,Marseille,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
119,Bank of America Merchant Services,Data architecte,docker/gnu/windows/linux/python,Phd,5.0,Strasbourg,"['docker', 'gnu', 'windows', 'linux', 'python']"
120,Tempus,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Phd,2.0,Paris,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
121,McKinsey & Company,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,3.0,Rennes,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
122,University of Texas at Austin,Data engineer,java/hadoop/hadoop/yarn,Master,4.0,Lyon,"['java', 'hadoop', 'hadoop', 'yarn']"
123,MassMutual,Lead data scientist,excel/vba/r,Master,4.0,Paris,"['excel', 'vba', 'r']"
124,Exponent,Data scientist,excel/python/matlab/r/machine learning/anglais,Master,0.5,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
125,dbHMS,Data architecte,java/python/linux,No diploma,4.0,Paris,"['java', 'python', 'linux']"
126,DiMeo Schneider & Associates,Data architecte,python/hadoop/kafka/aws,Bachelor,1.5,Marseille,"['python', 'hadoop', 'kafka', 'aws']"
127,UNKNOWN,Data architecte,mongodb/sql/docker,Bachelor,1.5,Toulouse,"['mongodb', 'sql', 'docker']"
128,The Boston Consulting Group,Data engineer,java/hadoop/hadoop/yarn,Master,4.0,Paris,"['java', 'hadoop', 'hadoop', 'yarn']"
129,King.com,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Phd,2.5,Bordeaux,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
130,A-Line Staffing,Data architecte,python/hadoop/kafka/aws,Master,2.5,Strasbourg,"['python', 'hadoop', 'kafka', 'aws']"
131,DigitasLBi,Lead data scientist,sql/r/python/big data,Master,6.0,Paris,"['sql', 'r', 'python', 'big data']"
132,TUFTS University,Data architecte,mongodb/sql/docker,Bachelor,3.5,Strasbourg,"['mongodb', 'sql', 'docker']"
133,General Electric,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,1.5,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
134,Ball Aerospace,Lead data scientist,sql/r/python/big data,Master,1.0,Paris,"['sql', 'r', 'python', 'big data']"
135,Ball Aerospace,Lead data scientist,python/microsoft azure/r/sql,Master,4.0,Marseille,"['python', 'microsoft azure', 'r', 'sql']"
136,Google,Data scientist,vba/python/excel/r,Phd,2.5,Paris,"['vba', 'python', 'excel', 'r']"
137,University of Texas at Austin,Data engineer,spark/python/scala,Master,2.5,Rouen,"['spark', 'python', 'scala']"
138,Turner,Data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Master,1.5,Rennes,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
139,Fidelity Investments,Lead data scientist,sql/r/python/big data,Bachelor,4.0,Lyon,"['sql', 'r', 'python', 'big data']"
140,Heart Rhythm Society (HRS),Data engineer,spark/python/scala,Master,0.5,Bordeaux,"['spark', 'python', 'scala']"
141,UNKNOWN,Data architecte,hadoop/hive/vertica/tableau,Master,0.0,Lille,"['hadoop', 'hive', 'vertica', 'tableau']"
142,FiscalNote,Data architecte,python/spark/hive/hadoop,Master,3.0,Marseille,"['python', 'spark', 'hive', 'hadoop']"
143,Celgene Corporation,Data scientist,c++/r/python/matlab/matplotlib,Phd,4.0,Toulouse,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
144,State Street,Data architecte,java/python/linux,Bachelor,3.0,Strasbourg,"['java', 'python', 'linux']"
145,HUB International,Data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Master,3.5,Toulouse,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
146,Northeastern University,Lead data scientist,r/python/hadoop/hive/sql,Master,4.0,Lyon,"['r', 'python', 'hadoop', 'hive', 'sql']"
147,UNKNOWN,Data scientist,python/r/machine learning/excel/vba/c++,Master,0.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
148,UNKNOWN,Data engineer,aws/python/c/c++/docker,Master,6.0,Bordeaux,"['aws', 'python', 'c', 'c++', 'docker']"
149,AllianceBernstein,Data scientist,r/python/spark/pycharm/sas/sql,Master,2.0,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
150,Boston Medical Center (BMC),Data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Phd,1.5,Toulouse,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
151,UNKNOWN,Lead data scientist,sql/r/python/big data,Master,17.0,Lille,"['sql', 'r', 'python', 'big data']"
152,Cervello Inc,Lead data scientist,python/r/spark/hadoop/sql,Master,7.0,Paris,"['python', 'r', 'spark', 'hadoop', 'sql']"
153,UNKNOWN,Data architecte,python/hadoop/kafka/aws,Bachelor,3.5,Paris,"['python', 'hadoop', 'kafka', 'aws']"
154,Alnylam,Data scientist,c++/r/python/matlab/matplotlib,Bachelor,2.0,Lyon,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
155,General Motors,Data architecte,java/python/linux,Master,3.0,Toulouse,"['java', 'python', 'linux']"
156,Emory University,Data engineer,aws/python/c/c++/docker,Bachelor,0.5,Lyon,"['aws', 'python', 'c', 'c++', 'docker']"
157,UNKNOWN,Data engineer,elasticsearch/kibana/mongodb,Master,12.0,Paris,"['elasticsearch', 'kibana', 'mongodb']"
158,UNKNOWN,Data architecte,hadoop/perl/gnu/linux,Master,0.0,Marseille,"['hadoop', 'perl', 'gnu', 'linux']"
159,Northwestern University,Data scientist,python/microsoft azure/r/sql,Master,0.5,Marseille,"['python', 'microsoft azure', 'r', 'sql']"
160,JLL,Data engineer,c/c++/java/python/linux,Master,3.0,Toulouse,"['c', 'c++', 'java', 'python', 'linux']"
161,Hatch,Data architecte,python/hadoop/kafka/aws,Master,10.0,Rouen,"['python', 'hadoop', 'kafka', 'aws']"
162,JUUL Labs,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Master,2.0,Paris,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
163,"Advanced Micro Devices, Inc.",Data engineer,c/c++/java/python/linux,Phd,1.5,Lyon,"['c', 'c++', 'java', 'python', 'linux']"
164,UNKNOWN,Data scientist,sql/r/python/big data,Master,1.0,Paris,"['sql', 'r', 'python', 'big data']"
165,UNKNOWN,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,2.0,Paris,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
166,DataRobot,Data architecte,cassandra/mongodb/nosql/aws,Phd,3.5,Lille,"['cassandra', 'mongodb', 'nosql', 'aws']"
167,General Assembly,Data architecte,python/hadoop/kafka/aws,Master,3.5,Lyon,"['python', 'hadoop', 'kafka', 'aws']"
168,UNKNOWN,Data engineer,python/spark/gnu/linux,Phd,2.0,Lyon,"['python', 'spark', 'gnu', 'linux']"
169,Clockwork Solutions,Data architecte,mongodb/sql/docker,Phd,3.0,Paris,"['mongodb', 'sql', 'docker']"
170,Broad Institute,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,0.0,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
171,Bank of America,Data scientist,vba/python/excel/r,Master,0.5,Rennes,"['vba', 'python', 'excel', 'r']"
172,Ball Aerospace,Data engineer,java/hadoop/hadoop/yarn,Master,0.0,Strasbourg,"['java', 'hadoop', 'hadoop', 'yarn']"
173,KPMG,Data engineer,hadoop/hive/sql/mariadb,No diploma,3.0,Lyon,"['hadoop', 'hive', 'sql', 'mariadb']"
174,Institute for Defense Analyses,Data engineer,hadoop/hive/sql/mariadb,Phd,4.0,Marseille,"['hadoop', 'hive', 'sql', 'mariadb']"
175,Ball Aerospace,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,2.0,Lyon,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
176,UNKNOWN,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Phd,0.0,Marseille,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
177,"Attorney General, Office of the",Data scientist,c/c++/java/python,Master,3.0,Marseille,"['c', 'c++', 'java', 'python']"
178,Google,Data architecte,cassandra/mongodb/nosql/aws,Bachelor,2.5,Bordeaux,"['cassandra', 'mongodb', 'nosql', 'aws']"
179,VMware,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,0.5,Bordeaux,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
180,AXIS Insurance,Data engineer,python/spark/gnu/linux,Bachelor,1.0,Nice,"['python', 'spark', 'gnu', 'linux']"
181,Arm,Lead data scientist,vba/python/excel/r,Phd,7.0,Nice,"['vba', 'python', 'excel', 'r']"
182,UniBit Inc.,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Phd,0.5,Paris,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
183,TechnoGen Inc,Data architecte,hadoop/hive/vertica/tableau,Bachelor,3.5,Lyon,"['hadoop', 'hive', 'vertica', 'tableau']"
184,"Summit Technologies, Inc.",Data engineer,java/linux/gnu/docker,No diploma,3.5,Nantes,"['java', 'linux', 'gnu', 'docker']"
185,Apple,Data engineer,java/hadoop/hadoop/yarn,No diploma,5.0,Marseille,"['java', 'hadoop', 'hadoop', 'yarn']"
186,Amazon.com,Data scientist,python/r/machine learning/excel/vba/c++,Master,2.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
187,Ball Aerospace,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,4.0,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
188,Google,Data scientist,c++/r/python/matlab/matplotlib,Phd,2.5,Marseille,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
189,UNKNOWN,Data architecte,mongodb/sql/docker,No diploma,4.0,Strasbourg,"['mongodb', 'sql', 'docker']"
190,Ball Aerospace,Data engineer,spark/python/scala,No diploma,1.0,Lille,"['spark', 'python', 'scala']"
